FloorPlanId,Address,City,State,Zip,Size(sqf),HallwayType,OwnerId,Rate,,,,,,,,,
17,130 W Maxwell Blvd,Montgomery,AL,36112-6613,814,terraced,16000,4.8,,,,,,,,,
8,130 W Maxwell Blvd,Montgomery,AL,36112-6613,587,corridor,16001,4.5,,,,,,,,,
24,4900 Meridian St,Normal,AL,35762,587,corridor,16002,4.4,,,,,,,,,
27,4900 Meridian St,Normal,AL,35762,2056,terraced,16003,4.9,,,,,,,,,
27,4900 Meridian St,Normal,AL,35762,1761,mixed,16004,4.8,,,,,,,,,
9,4900 Meridian St,Normal,AL,35762,355,corridor,16005,4.4,,,,,,,,,
23,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16006,4,,,,,,,,,
19,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16007,4.2,,,,,,,,,
28,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16008,4.9,,,,,,,,,
39,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16009,4.8,,,,,,,,,
38,1720 2nd Avenue South,Birmingham,AL,35233,1377,terraced,16010,4.9,,,,,,,,,
20,1720 2nd Avenue South,Birmingham,AL,35233,914,terraced,16011,4.2,,,,,,,,,
15,1720 2nd Avenue South,Birmingham,AL,35233,868,terraced,16012,4.8,,,,,,,,,
15,1720 2nd Avenue South,Birmingham,AL,35233,587,corridor,16013,4.2,,,,,,,,,
18,1720 2nd Avenue South,Birmingham,AL,35233,910,corridor,16014,4.3,,,,,,,,,
9,1720 2nd Avenue South,Birmingham,AL,35233,1288,mixed,16015,3.6,,,,,,,,,
37,1720 2nd Avenue South,Birmingham,AL,35233,914,mixed,16016,4,,,,,,,,,
13,1720 2nd Avenue South,Birmingham,AL,35233,576,corridor,16017,4.5,,,,,,,,,
36,1720 2nd Avenue South,Birmingham,AL,35233,1451,mixed,16018,4.5,,,,,,,,,
12,1720 2nd Avenue South,Birmingham,AL,35233,576,corridor,16019,4.4,,,,,,,,,
20,1720 2nd Avenue South,Birmingham,AL,35233,355,corridor,16020,4.7,,,,,,,,,
8,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16021,4.5,,,,,,,,,
22,1720 2nd Avenue South,Birmingham,AL,35233,868,terraced,16022,3,,,,,,,,,
16,1720 2nd Avenue South,Birmingham,AL,35233,1131,terraced,16023,3.8,,,,,,,,,
4,1720 2nd Avenue South,Birmingham,AL,35233,868,terraced,16024,3.7,,,,,,,,,
14,1720 2nd Avenue South,Birmingham,AL,35233,868,terraced,16025,3.8,,,,,,,,,
24,1720 2nd Avenue South,Birmingham,AL,35233,1643,terraced,16026,3.2,,,,,,,,,
12,1720 2nd Avenue South,Birmingham,AL,35233,1387,terraced,16027,3.1,,,,,,,,,
18,1720 2nd Avenue South,Birmingham,AL,35233,903,terraced,16028,3.7,,,,,,,,,
3,1720 2nd Avenue South,Birmingham,AL,35233,868,terraced,16029,3.7,,,,,,,,,
35,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16030,0,,,,,,,,,
13,1720 2nd Avenue South,Birmingham,AL,35233,587,corridor,16031,4.1,,,,,,,,,
22,1720 2nd Avenue South,Birmingham,AL,35233,676,corridor,16032,3.1,,,,,,,,,
29,1720 2nd Avenue South,Birmingham,AL,35233,2056,terraced,16033,3.6,,,,,,,,,
4,1720 2nd Avenue South,Birmingham,AL,35233,1761,mixed,16034,4.3,,,,,,,,,
16,1720 2nd Avenue South,Birmingham,AL,35233,355,corridor,16035,4.2,,,,,,,,,
11,1720 2nd Avenue South,Birmingham,AL,35233,576,corridor,16036,3.6,,,,,,,,,
12,1720 2nd Avenue South,Birmingham,AL,35233,914,mixed,16037,4,,,,,,,,,
9,1720 2nd Avenue South,Birmingham,AL,35233,355,corridor,16038,3.2,,,,,,,,,
11,1720 2nd Avenue South,Birmingham,AL,35233,355,corridor,16039,4.9,,,,,,,,,
15,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16040,3.3,,,,,,,,,
38,1720 2nd Avenue South,Birmingham,AL,35233,1451,mixed,16041,3.6,,,,,,,,,
26,1720 2nd Avenue South,Birmingham,AL,35233,914,mixed,16042,4,,,,,,,,,
20,1720 2nd Avenue South,Birmingham,AL,35233,644,mixed,16043,4.8,,,,,,,,,
16,1200 Taylor Rd,Montgomery,AL,36117-3553,644,mixed,16044,4.7,,,,,,,,,
3,1200 Taylor Rd,Montgomery,AL,36117-3553,1448,mixed,16045,4.5,,,,,,,,,
17,301 Sparkman Dr,Huntsville,AL,35899,644,mixed,16046,4.2,,,,,,,,,
26,301 Sparkman Dr,Huntsville,AL,35899,355,corridor,16047,4.8,,,,,,,,,
29,301 Sparkman Dr,Huntsville,AL,35899,1288,mixed,16048,4.9,,,,,,,,,
31,301 Sparkman Dr,Huntsville,AL,35899,644,mixed,16049,4.6,,,,,,,,,
34,301 Sparkman Dr,Huntsville,AL,35899,743,mixed,16050,4.9,,,,,,,,,
32,301 Sparkman Dr,Huntsville,AL,35899,1387,terraced,16051,4.6,,,,,,,,,
26,915 S Jackson Street,Montgomery,AL,36104,868,terraced,16052,4.3,,,,,,,,,
21,915 S Jackson Street,Montgomery,AL,36104,868,terraced,16053,4,,,,,,,,,
7,915 S Jackson Street,Montgomery,AL,36104,1387,terraced,16054,4.6,,,,,,,,,
34,915 S Jackson Street,Montgomery,AL,36104,587,corridor,16055,4.4,,,,,,,,,
7,915 S Jackson Street,Montgomery,AL,36104,1334,terraced,16056,4.2,,,,,,,,,
9,915 S Jackson Street,Montgomery,AL,36104,1334,terraced,16057,4.2,,,,,,,,,
17,915 S Jackson Street,Montgomery,AL,36104,1444,terraced,16058,0,,,,,,,,,
31,739 University Boulevard,Tuscaloosa,AL,35487-0100,1690,terraced,16059,4.7,,,,,,,,,
11,739 University Boulevard,Tuscaloosa,AL,35487-0100,1629,terraced,16060,4.6,,,,,,,,,
37,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16061,4.3,,,,,,,,,
35,739 University Boulevard,Tuscaloosa,AL,35487-0100,1334,terraced,16062,4.5,,,,,,,,,
21,739 University Boulevard,Tuscaloosa,AL,35487-0100,1273,terraced,16063,4.4,,,,,,,,,
5,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16064,3.1,,,,,,,,,
31,739 University Boulevard,Tuscaloosa,AL,35487-0100,1690,terraced,16065,4.1,,,,,,,,,
19,739 University Boulevard,Tuscaloosa,AL,35487-0100,1629,terraced,16066,4.8,,,,,,,,,
11,739 University Boulevard,Tuscaloosa,AL,35487-0100,1690,terraced,16067,4.6,,,,,,,,,
29,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16068,3.9,,,,,,,,,
13,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16069,0,,,,,,,,,
1,739 University Boulevard,Tuscaloosa,AL,35487-0100,1334,terraced,16070,3.4,,,,,,,,,
1,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16071,3.5,,,,,,,,,
32,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16072,4.3,,,,,,,,,
27,739 University Boulevard,Tuscaloosa,AL,35487-0100,1483,terraced,16073,3.9,,,,,,,,,
34,1675 Cherokee Road,Alexander City,AL,35010,1483,terraced,16074,4.3,,,,,,,,,
38,1675 Cherokee Road,Alexander City,AL,35010,1483,terraced,16075,4.3,,,,,,,,,
39,1675 Cherokee Road,Alexander City,AL,35010,1483,terraced,16076,4.4,,,,,,,,,
31,1675 Cherokee Road,Alexander City,AL,35010,1483,terraced,16077,0,,,,,,,,,
5,300 N Beaty St,Athens,AL,35611,910,corridor,16078,0,,,,,,,,,
39,300 N Beaty St,Athens,AL,35611,914,mixed,16079,4.4,,,,,,,,,
32,300 N Beaty St,Athens,AL,35611,914,mixed,16080,4.6,,,,,,,,,
20,300 N Beaty St,Athens,AL,35611,1103,terraced,16081,4.1,,,,,,,,,
2,300 N Beaty St,Athens,AL,35611,644,mixed,16082,3.3,,,,,,,,,
1,300 N Beaty St,Athens,AL,35611,1761,mixed,16083,3.3,,,,,,,,,
31,300 N Beaty St,Athens,AL,35611,2337,mixed,16084,3.4,,,,,,,,,
28,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,355,corridor,16085,3.4,,,,,,,,,
12,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,576,corridor,16086,3.4,,,,,,,,,
36,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,644,mixed,16087,3.4,,,,,,,,,
3,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,576,corridor,16088,3.5,,,,,,,,,
