ReviewId,ApartmentId
30001,437
30002,8751
30003,6313
30004,3355
30005,7842
30006,1539
30007,11319
30008,11720
30009,1629
30010,993
30011,11914
30012,9825
30013,8882
30014,9187
30015,7432
30016,3854
30017,5976
30018,574
30019,4827
30020,8944
30021,10154
30022,9149
30023,2341
30024,11523
30025,2992
30026,7994
30027,3626
30028,7052
30029,6748
30030,10105
30031,5932
30032,8101
30033,4400
30034,7521
30035,9460
30036,3906
30037,10429
30038,3160
30039,8780
30040,10303
30041,9223
30042,7866
30043,10986
30044,1928
30045,6244
30046,5621
30047,1542
30048,7236
30049,7235
30050,3395
30051,9420
30052,9791
30053,9289
30054,8229
30055,10637
30056,9875
30057,1910
30058,8953
30059,1808
30060,114
30061,10662
30062,1784
30063,2630
30064,563
30065,11764
30066,5327
30067,3899
30068,3606
30069,6969
30070,3671
30071,6792
30072,10102
30073,2002
30074,6579
30075,1222
30076,9226
30077,2816
30078,8710
30079,10845
30080,2423
30081,11144
30082,10958
30083,5562
30084,11190
30085,6875
30086,3041
30087,863
30088,2269
30089,6768
30090,7554
30091,9748
30092,3501
30093,6476
30094,1504
30095,11099
30096,2328
30097,3780
30098,2028
30099,3649
30100,7884
30101,857
30102,1844
30103,240
30104,9249
30105,8835
30106,4865
30107,8098
30108,1819
30109,9801
30110,8809
30111,305
30112,4955
30113,843
30114,3314
30115,6793
30116,3496
30117,5059
30118,9284
30119,7454
30120,2422
30121,6240
30122,5738
30123,10010
30124,1329
30125,3474
30126,11749
30127,5071
30128,4264
30129,8004
30130,2860
30131,3754
30132,8120
30133,9058
30134,4067
30135,5288
30136,3060
30137,8892
30138,4279
30139,1347
30140,6670
30141,10851
30142,7444
30143,4805
30144,1573
30145,9009
30146,9923
30147,1854
30148,5739
30149,2277
30150,3172
30151,9552
30152,10897
30153,7723
30154,10531
30155,6854
30156,3441
30157,4794
30158,7610
30159,3909
30160,4983
30161,6423
30162,6627
30163,5147
30164,2254
30165,3736
30166,2616
30167,532
30168,8099
30169,5282
30170,4010
30171,10732
30172,9848
30173,10035
30174,9626
30175,5214
30176,2983
30177,7932
30178,4278
30179,4059
30180,80
30181,1286
30182,9651
30183,8375
30184,3105
30185,470
30186,3876
30187,11421
30188,3842
30189,11723
30190,4405
30191,8514
30192,8250
30193,963
30194,38
30195,1751
30196,3905
30197,7550
30198,4647
30199,1240
30200,5154
30201,4442
30202,2573
30203,8225
30204,7724
30205,7645
30206,6062
30207,2881
30208,7287
30209,7889
30210,1694
30211,7590
30212,9454
30213,3658
30214,743
30215,11896
30216,10652
30217,6339
30218,11358
30219,9058
30220,4535
30221,3879
30222,5512
30223,10442
30224,292
30225,4267
30226,1417
30227,9762
30228,6981
30229,5752
30230,11492
30231,1431
30232,2822
30233,5574
30234,1108
30235,8167
30236,7904
30237,8132
30238,2245
30239,6128
30240,7655
30241,53
30242,3632
30243,1571
30244,4439
30245,6100
30246,3666
30247,11318
30248,10678
30249,3736
30250,8168
30251,7065
30252,10341
30253,6706
30254,5288
30255,8769
30256,7817
30257,7507
30258,7487
30259,576
30260,8688
30261,9131
30262,8803
30263,694
30264,7650
30265,5260
30266,4564
30267,6529
30268,2278
30269,4941
30270,3540
30271,1295
30272,11949
30273,1802
30274,3647
30275,8244
30276,255
30277,3369
30278,3209
30279,8855
30280,3489
30281,9399
30282,5491
30283,4583
30284,2656
30285,11697
30286,7018
30287,3115
30288,1117
30289,3711
30290,10364
30291,6486
30292,8148
30293,8218
30294,5815
30295,7193
30296,5834
30297,111
30298,3648
30299,2643
30300,9458
30301,8763
30302,10445
30303,2724
30304,8828
30305,11894
30306,9632
30307,11999
30308,7004
30309,10988
30310,6592
30311,10493
30312,7954
30313,7974
30314,11893
30315,3022
30316,4187
30317,1896
30318,8768
30319,11339
30320,1748
30321,5747
30322,565
30323,10023
30324,11878
30325,7402
30326,2870
30327,3300
30328,9234
30329,4946
30330,1261
30331,6497
30332,2521
30333,6099
30334,6917
30335,2577
30336,4393
30337,1307
30338,3461
30339,9543
30340,2016
30341,7746
30342,1739
30343,2637
30344,3070
30345,8360
30346,5377
30347,6388
30348,5099
30349,5562
30350,6047
30351,9766
30352,9538
30353,3731
30354,7741
30355,6423
30356,7129
30357,7487
30358,4178
30359,9178
30360,3886
30361,9371
30362,5582
30363,11664
30364,4591
30365,6424
30366,5456
30367,11963
30368,7078
30369,6655
30370,3397
30371,8816
30372,9215
30373,5294
30374,11710
30375,9867
30376,5400
30377,1152
30378,11948
30379,6749
30380,612
30381,3115
30382,10715
30383,7136
30384,3931
30385,7427
30386,3912
30387,8203
30388,4194
30389,9212
30390,7552
30391,4512
30392,10834
30393,8109
30394,10103
30395,8515
30396,9384
30397,11183
30398,546
30399,4006
30400,9321
30401,3044
30402,4593
30403,6463
30404,5423
30405,2933
30406,876
30407,5979
30408,6932
30409,11092
30410,10633
30411,11115
30412,121
30413,9056
30414,583
30415,10717
30416,11732
30417,903
30418,3595
30419,1926
30420,1749
30421,2982
30422,7252
30423,11387
30424,2867
30425,6443
30426,11613
30427,11070
30428,10647
30429,10683
30430,6030
30431,5045
30432,3940
30433,1616
30434,8255
30435,10039
30436,7778
30437,7386
30438,7851
30439,3552
30440,2566
30441,3655
30442,6765
30443,6180
30444,4127
30445,5757
30446,7385
30447,9696
30448,2464
30449,7587
30450,1017
30451,7308
30452,4933
30453,1792
30454,5218
30455,7052
30456,3108
30457,5179
30458,3123
30459,9062
30460,8689
30461,5537
30462,9674
30463,4494
30464,7181
30465,11942
30466,2307
30467,2076
30468,11052
30469,2690
30470,5581
30471,6335
30472,8962
30473,2428
30474,5131
30475,8587
30476,11274
30477,2821
30478,3428
30479,10254
30480,5779
30481,8635
30482,5767
30483,2401
30484,5991
30485,11310
30486,1534
30487,9146
30488,5624
30489,6240
30490,5102
30491,3166
30492,10378
30493,4101
30494,1769
30495,3283
30496,9879
30497,11337
30498,7056
30499,9235
30500,547
30501,2033
30502,5480
30503,9564
30504,3261
30505,3097
30506,5623
30507,9637
30508,6254
30509,11133
30510,9211
30511,8843
30512,2849
30513,2419
30514,3400
30515,11466
30516,2127
30517,8918
30518,6332
30519,8807
30520,4837
30521,10494
30522,10593
30523,10282
30524,4117
30525,4234
30526,2814
30527,10857
30528,5526
30529,7743
30530,10970
30531,5663
30532,3353
30533,7338
30534,6958
30535,6747
30536,1385
30537,3265
30538,6758
30539,3765
30540,1470
30541,7304
30542,436
30543,9051
30544,11550
30545,8720
30546,2128
30547,330
30548,2384
30549,6009
30550,3056
30551,11288
30552,3295
30553,2680
30554,5344
30555,206
30556,10887
30557,9300
30558,11007
30559,10996
30560,7167
30561,11051
30562,7798
30563,4740
30564,258
30565,689
30566,10997
30567,8384
30568,5404
30569,7480
30570,7691
30571,6047
30572,10510
30573,7627
30574,10913
30575,4898
30576,1406
30577,5108
30578,1300
30579,2917
30580,11391
30581,5982
30582,10446
30583,4593
30584,7896
30585,7988
30586,8768
30587,5647
30588,6483
30589,9416
30590,10206
30591,759
30592,11300
30593,6928
30594,9207
30595,10086
30596,11540
30597,10795
30598,11119
30599,7502
30600,5769
30601,3042
30602,8922
30603,10887
30604,5140
30605,10313
30606,2039
30607,8419
30608,214
30609,1092
30610,71
30611,11488
30612,2127
30613,11238
30614,7306
30615,662
30616,5541
30617,7253
30618,2132
30619,5168
30620,9838
30621,4362
30622,80
30623,7095
30624,8507
30625,4980
30626,1713
30627,9546
30628,1057
30629,9756
30630,10641
30631,4426
30632,10724
30633,9475
30634,6216
30635,11378
30636,8801
