Rate,UserID
4.8,1774
4.5,23679
4.4,10718
4.9,21512
4.8,32293
4.4,24242
4,14556
4.2,8893
4.9,11559
4.8,21591
4.9,3573
4.2,19532
4.8,23511
4.2,29045
4.3,25077
3.6,29775
4,13551
4.5,1520
4.5,2284
4.4,4162
4.7,11895
4.5,19662
3,16160
3.8,14336
3.7,11517
3.8,27830
3.2,5359
3.1,4624
3.7,20642
3.7,4636
0,14751
4.1,14390
3.1,18773
3.6,28087
4.3,5524
4.2,20070
3.6,12382
4,12980
3.2,24622
4.9,22252
3.3,3913
3.6,4467
4,16539
4.8,11159
4.7,17548
4.5,20247
4.2,32720
4.8,16828
4.9,6855
4.6,11604
4.9,19296
4.6,10582
4.3,21127
4,21256
4.6,23710
4.4,21563
4.2,7799
4.2,5603
0,26893
4.7,9801
4.6,12373
4.3,16043
4.5,7786
4.4,29711
3.1,3068
4.1,21208
4.8,9618
4.6,24185
3.9,16906
0,14223
3.4,261
3.5,23604
4.3,9032
3.9,21682
4.3,7671
4.3,4335
4.4,10753
0,10876
0,22727
4.4,1250
4.6,33
4.1,23603
3.3,23926
3.3,20120
3.4,25076
3.4,20670
3.4,4421
3.4,20048
3.5,9841
3.9,21637
3.7,8587
3.5,31394
3.6,11729
3.8,20879
3.9,29106
3.5,11260
3.5,30415
3.6,302
3.5,7669
3.8,27172
3.7,1837
3.4,15408
3.5,31096
4.5,2032
4.5,5632
4.6,14151
3.9,11172
3.7,11233
4.3,24234
4.2,13568
4,21718
4.1,27870
4.3,25866
4.2,10545
4.1,8978
4.1,24437
4.2,14050
4.1,30354
4.1,8185
4.4,2548
4.4,1453
4.2,11278
4.1,32260
4.6,32134
4.9,21651
4.5,20356
3.9,29388
3.9,22441
3.8,10434
3.5,16197
4.3,4704
4.1,23588
4.4,12770
4,10690
4,16546
4.2,11109
4,23365
4,29870
3.9,16951
4.1,11088
4,29610
4.3,7206
4.2,22416
3.2,29548
4.6,25525
4.5,19282
4.6,17505
4.5,9024
3.9,17108
4.3,11547
4.1,32382
4.2,28043
4.3,2648
4.4,9844
4.1,29485
4.4,27865
4.3,8358
4.4,4693
4.4,10652
4,25705
4.1,19985
4.3,30426
4,18456
4,2075
4.4,11686
3.7,5274
4.1,13303
4.1,127
4.1,15724
4.4,17675
4.2,28658
4.2,10769
4.2,4934
3.8,26067
4.1,19555
4.9,20120
4.5,29942
3.6,8186
3.8,25279
4.3,2701
4.3,17127
4.1,11363
4,29423
4.2,27921
4.7,9999
3.7,29137
4.3,3041
3.1,18952
3.3,11279
4.6,26654
4.5,30118
3.8,8473
3.9,22697
