ApartmentId,RoomType,ShareBath,FloorType,
1661,Other,1,HardWood,other
10291,Guest Bedroom,1,Laminate,
7940,Other,0,HardWood,othr
6193,Guest Bedroom,1,Other,
9528,Other,1,Laminate,
8730,Guest Bedroom,0,HardWood,
5142,Other,0,Carpet,
11368,Master Bedroom,1,HardWood,
951,Master Bedroom,1,Laminate,
7313,Master Bedroom,0,HardWood,
1301,Master Bedroom,0,Laminate,
8061,Master Bedroom,1,Laminate,
1986,Other,0,Other,
7102,Other,0,Other,
11315,Other,1,Other,
1085,Guest Bedroom,1,Other,
6319,Master Bedroom,1,Laminate,
5198,Guest Bedroom,0,Carpet,
10541,Other,0,Other,
5804,Guest Bedroom,0,Carpet,
9184,Guest Bedroom,1,HardWood,
2718,Other,0,Laminate,
1498,Guest Bedroom,1,Laminate,
11090,Guest Bedroom,0,HardWood,
10932,Other,1,Carpet,
2131,Guest Bedroom,0,Carpet,
3358,Guest Bedroom,0,HardWood,
9258,Master Bedroom,1,HardWood,
6153,Guest Bedroom,1,Laminate,
2742,Other,1,HardWood,
8324,Other,0,Other,
10125,Other,0,Other,
441,Guest Bedroom,1,Laminate,
11024,Master Bedroom,0,Carpet,
4749,Master Bedroom,1,Carpet,
5282,Guest Bedroom,0,HardWood,
5269,Other,0,Laminate,
4952,Master Bedroom,0,Other,
3397,Master Bedroom,0,Carpet,
10106,Guest Bedroom,0,Carpet,
2127,Other,0,Laminate,
11518,Master Bedroom,0,Carpet,
4049,Master Bedroom,1,Laminate,
3943,Master Bedroom,0,Laminate,
8069,Guest Bedroom,0,Carpet,
9518,Master Bedroom,0,Carpet,
11211,Other,0,HardWood,
7037,Other,1,HardWood,
1294,Master Bedroom,1,Other,
7366,Master Bedroom,1,Laminate,
1983,Other,1,HardWood,
9157,Other,0,Laminate,
1830,Guest Bedroom,0,Laminate,
963,Master Bedroom,1,HardWood,
5148,Guest Bedroom,1,Other,
3644,Guest Bedroom,1,Carpet,
704,Guest Bedroom,0,HardWood,
3296,Guest Bedroom,1,HardWood,
6728,Guest Bedroom,0,Carpet,
10324,Other,1,Laminate,
10950,Guest Bedroom,1,Laminate,
1198,Master Bedroom,1,Other,
3255,Guest Bedroom,1,HardWood,
3618,Other,1,Carpet,
10027,Master Bedroom,0,HardWood,
214,Other,0,HardWood,
10263,Other,0,HardWood,
915,Other,0,Laminate,
10654,Other,1,Carpet,
7846,Guest Bedroom,1,Carpet,
9494,Master Bedroom,0,Laminate,
8520,Master Bedroom,0,HardWood,
3252,Master Bedroom,1,Other,
3096,Other,1,Other,
5477,Other,0,Other,
6740,Guest Bedroom,0,Carpet,
9996,Guest Bedroom,1,Other,
3653,Other,1,HardWood,
3132,Guest Bedroom,1,Laminate,
3797,Guest Bedroom,0,Other,
7153,Master Bedroom,0,Laminate,
7117,Other,0,Other,
10167,Other,1,Laminate,
10483,Guest Bedroom,0,Laminate,
789,Guest Bedroom,1,Laminate,
11114,Other,1,HardWood,
9501,Guest Bedroom,0,HardWood,
1867,Other,0,Laminate,
9470,Guest Bedroom,1,Carpet,
1334,Master Bedroom,1,Laminate,
6780,Other,0,HardWood,
2970,Master Bedroom,0,HardWood,
7123,Other,0,Laminate,
1923,Other,1,Carpet,
3525,Guest Bedroom,0,HardWood,
11436,Guest Bedroom,0,Other,
8983,Master Bedroom,0,Other,
3846,Other,1,HardWood,
10401,Other,1,Other,
10167,Master Bedroom,1,Carpet,
9111,Other,0,HardWood,
7696,Guest Bedroom,0,Carpet,
11077,Master Bedroom,1,HardWood,
5795,Guest Bedroom,1,Carpet,
11542,Master Bedroom,1,Laminate,
10387,Other,0,HardWood,
8582,Master Bedroom,1,HardWood,
98,Other,1,Carpet,
7039,Master Bedroom,0,Other,
9594,Guest Bedroom,1,Carpet,
3999,Guest Bedroom,0,Laminate,
2378,Master Bedroom,1,Other,
8466,Other,0,Other,
10811,Guest Bedroom,0,Carpet,
2638,Guest Bedroom,0,HardWood,
7115,Other,1,Other,
1428,Master Bedroom,0,Carpet,
632,Other,0,HardWood,
5623,Guest Bedroom,1,Carpet,
3393,Master Bedroom,1,Laminate,
3310,Other,0,HardWood,
4089,Guest Bedroom,1,HardWood,
8274,Master Bedroom,0,Other,
9868,Guest Bedroom,1,Carpet,
5891,Guest Bedroom,0,Laminate,
4954,Guest Bedroom,1,Laminate,
5063,Other,1,Carpet,
11243,Guest Bedroom,0,Other,
6975,Other,0,Carpet,
5849,Other,0,Laminate,
508,Other,0,Laminate,
4497,Guest Bedroom,0,Carpet,
6881,Guest Bedroom,1,Laminate,
4856,Other,0,Carpet,
4338,Master Bedroom,1,Carpet,
5196,Other,0,Carpet,
2690,Guest Bedroom,0,Other,
4523,Other,1,Carpet,
8291,Other,1,Other,
5659,Guest Bedroom,0,Laminate,
1463,Other,0,Laminate,
1774,Other,0,HardWood,
5228,Other,1,Laminate,
5019,Master Bedroom,1,Other,
11511,Other,1,Laminate,
11361,Master Bedroom,0,Other,
194,Other,0,Laminate,
8727,Other,1,Laminate,
9044,Guest Bedroom,0,HardWood,
7814,Other,0,Laminate,
2412,Other,1,HardWood,
1908,Guest Bedroom,0,HardWood,
10872,Guest Bedroom,1,HardWood,
8163,Guest Bedroom,0,Carpet,
8497,Other,0,Laminate,
11525,Other,1,Laminate,
2456,Master Bedroom,1,Carpet,
9261,Master Bedroom,1,HardWood,
9743,Master Bedroom,0,Laminate,
4637,Guest Bedroom,1,Laminate,
50,Master Bedroom,1,HardWood,
7259,Master Bedroom,0,Other,
7785,Master Bedroom,0,Carpet,
2892,Other,1,Other,
3,Other,0,Laminate,
9901,Other,1,HardWood,
10045,Master Bedroom,1,Other,
2369,Master Bedroom,0,Carpet,
4201,Guest Bedroom,0,Other,
10414,Other,1,Other,
7808,Master Bedroom,1,Other,
572,Master Bedroom,0,HardWood,
9067,Other,1,Other,
10028,Master Bedroom,0,HardWood,
3109,Master Bedroom,1,HardWood,
2478,Other,1,HardWood,
4837,Other,0,Carpet,
7829,Guest Bedroom,1,HardWood,
4804,Master Bedroom,0,Other,
6027,Guest Bedroom,1,HardWood,
2485,Guest Bedroom,1,Laminate,
6751,Other,0,Carpet,
2856,Master Bedroom,1,Other,
11498,Master Bedroom,1,Carpet,
856,Master Bedroom,1,Laminate,
5894,Master Bedroom,1,Other,
10146,Master Bedroom,1,Carpet,
5701,Master Bedroom,1,Carpet,
709,Master Bedroom,1,HardWood,
3079,Other,0,HardWood,
10541,Master Bedroom,0,Other,
4463,Other,0,Laminate,
10244,Other,0,Laminate,
9492,Master Bedroom,0,Carpet,
10587,Other,0,Carpet,
4892,Master Bedroom,0,Laminate,
8882,Guest Bedroom,0,HardWood,
7117,Master Bedroom,1,Laminate,
3060,Master Bedroom,0,Carpet,
8472,Other,0,Laminate,
4574,Other,0,Carpet,
6243,Master Bedroom,0,Carpet,
1596,Guest Bedroom,0,HardWood,
560,Master Bedroom,1,Laminate,
2474,Other,0,Carpet,
10943,Other,1,Carpet,
8804,Guest Bedroom,0,HardWood,
6937,Other,0,Carpet,
1192,Master Bedroom,1,HardWood,
4344,Master Bedroom,0,Carpet,
5017,Other,0,Other,
9570,Other,1,Carpet,
1028,Other,1,HardWood,
302,Guest Bedroom,0,Carpet,
2853,Other,1,Laminate,
8996,Guest Bedroom,1,Laminate,
5911,Other,1,Other,
8366,Guest Bedroom,0,Carpet,
4276,Guest Bedroom,1,Laminate,
7139,Guest Bedroom,0,Carpet,
5447,Master Bedroom,0,Other,
6439,Guest Bedroom,1,Carpet,
4473,Master Bedroom,0,Carpet,
1786,Master Bedroom,1,Other,
10193,Master Bedroom,1,Other,
8675,Master Bedroom,0,Carpet,
140,Other,0,HardWood,
9647,Master Bedroom,1,HardWood,
6736,Other,1,HardWood,
851,Guest Bedroom,0,Carpet,
11254,Guest Bedroom,0,HardWood,
3258,Master Bedroom,0,Other,
10301,Other,1,HardWood,
3190,Master Bedroom,0,Laminate,
2167,Guest Bedroom,0,Carpet,
7246,Master Bedroom,1,Other,
3166,Guest Bedroom,0,Carpet,
3640,Other,1,HardWood,
10063,Master Bedroom,0,Carpet,
2565,Master Bedroom,1,HardWood,
5946,Guest Bedroom,1,Laminate,
6126,Other,0,HardWood,
566,Guest Bedroom,0,Laminate,
9675,Other,1,HardWood,
6052,Guest Bedroom,1,Other,
7224,Other,1,Other,
10004,Guest Bedroom,0,Laminate,
284,Guest Bedroom,1,Other,
7741,Master Bedroom,1,Carpet,
3006,Other,0,Other,
1096,Guest Bedroom,0,Other,
3876,Master Bedroom,0,Carpet,
5401,Guest Bedroom,1,Carpet,
5616,Master Bedroom,0,Other,
2391,Master Bedroom,0,Laminate,
6782,Guest Bedroom,1,HardWood,
6955,Guest Bedroom,1,HardWood,
5449,Other,0,HardWood,
6441,Other,1,HardWood,
10042,Other,0,Carpet,
8466,Guest Bedroom,0,HardWood,
10898,Master Bedroom,0,Other,
10679,Other,1,Laminate,
10363,Master Bedroom,0,Other,
1490,Master Bedroom,0,HardWood,
11420,Other,0,HardWood,
2449,Master Bedroom,0,Carpet,
2594,Master Bedroom,1,Other,
8516,Guest Bedroom,0,Other,
7680,Guest Bedroom,1,Laminate,
6317,Other,0,Carpet,
1740,Guest Bedroom,0,Other,
8393,Guest Bedroom,0,Other,
1230,Guest Bedroom,0,HardWood,
3690,Master Bedroom,0,HardWood,
10114,Guest Bedroom,0,HardWood,
1503,Guest Bedroom,1,Carpet,
3573,Master Bedroom,1,Other,
7631,Master Bedroom,1,Laminate,
9146,Guest Bedroom,1,Other,
8334,Other,0,Carpet,
7000,Other,1,HardWood,
1592,Other,0,Other,
6736,Other,1,Laminate,
3858,Master Bedroom,0,Carpet,
1904,Guest Bedroom,0,Carpet,
2326,Guest Bedroom,0,Laminate,
9955,Guest Bedroom,1,Carpet,
9642,Guest Bedroom,1,Laminate,
6638,Guest Bedroom,0,HardWood,
10489,Other,1,Other,
7082,Master Bedroom,1,Laminate,
2575,Other,1,HardWood,
7625,Master Bedroom,1,Carpet,
11443,Guest Bedroom,0,Other,
5703,Other,0,Carpet,
3328,Master Bedroom,0,Laminate,
3911,Guest Bedroom,1,HardWood,
7560,Guest Bedroom,1,Carpet,
10688,Other,1,Other,
7901,Guest Bedroom,1,Carpet,
608,Guest Bedroom,0,Carpet,
4328,Guest Bedroom,0,Other,
2164,Guest Bedroom,1,Laminate,
1860,Other,0,Other,
9436,Master Bedroom,0,Carpet,
889,Other,0,Other,
11517,Guest Bedroom,1,Carpet,
7264,Guest Bedroom,0,Laminate,
7949,Other,1,HardWood,
882,Master Bedroom,1,HardWood,
7416,Other,1,Other,
3055,Other,0,Laminate,
2015,Guest Bedroom,1,Carpet,
4521,Guest Bedroom,0,Carpet,
9124,Guest Bedroom,1,Other,
6296,Guest Bedroom,1,Laminate,
703,Other,1,Carpet,
7798,Guest Bedroom,1,HardWood,
10553,Master Bedroom,1,Carpet,
3403,Guest Bedroom,1,Other,
10110,Master Bedroom,1,Carpet,
4916,Guest Bedroom,0,Other,
3909,Guest Bedroom,0,HardWood,
9703,Other,0,HardWood,
11407,Guest Bedroom,0,Laminate,
8360,Other,0,Other,
2913,Guest Bedroom,1,Laminate,
3789,Other,0,Laminate,
1590,Guest Bedroom,1,HardWood,
6706,Guest Bedroom,0,Other,
7195,Master Bedroom,1,Other,
57,Master Bedroom,0,HardWood,
9022,Master Bedroom,0,Laminate,
1656,Guest Bedroom,1,Carpet,
4,Other,1,Other,
11472,Guest Bedroom,1,Other,
528,Other,1,Laminate,
5564,Other,1,Carpet,
8586,Master Bedroom,1,HardWood,
9568,Master Bedroom,0,HardWood,
9887,Master Bedroom,0,Laminate,
11093,Master Bedroom,0,Carpet,
10641,Other,0,Other,
7120,Master Bedroom,1,HardWood,
4005,Guest Bedroom,0,Carpet,
8424,Other,0,HardWood,
1008,Guest Bedroom,0,Other,
7505,Guest Bedroom,1,Carpet,
8678,Guest Bedroom,1,Carpet,
3565,Guest Bedroom,1,HardWood,
9761,Master Bedroom,1,Other,
2991,Other,0,HardWood,
8307,Master Bedroom,1,Carpet,
3073,Other,0,Other,
8223,Master Bedroom,0,Other,
5527,Guest Bedroom,0,Carpet,
3617,Other,0,HardWood,
4774,Other,0,Laminate,
6890,Master Bedroom,1,Laminate,
2123,Guest Bedroom,0,Carpet,
4079,Guest Bedroom,1,Carpet,
4740,Master Bedroom,1,Other,
5482,Guest Bedroom,0,Carpet,
1769,Guest Bedroom,1,Laminate,
435,Guest Bedroom,0,HardWood,
5585,Guest Bedroom,1,Laminate,
1386,Master Bedroom,1,Carpet,
10976,Guest Bedroom,0,Laminate,
6712,Master Bedroom,0,Other,
11120,Master Bedroom,0,HardWood,
8549,Other,1,Laminate,
8541,Master Bedroom,0,Other,
5825,Master Bedroom,1,HardWood,
6722,Guest Bedroom,0,Other,
9376,Master Bedroom,0,HardWood,
8907,Master Bedroom,1,HardWood,
7023,Guest Bedroom,1,Other,
6388,Other,1,Laminate,
708,Master Bedroom,1,HardWood,
5146,Other,1,Laminate,
774,Other,1,Carpet,
2851,Master Bedroom,1,Carpet,
9600,Other,1,HardWood,
4908,Other,0,HardWood,
7848,Guest Bedroom,1,HardWood,
8938,Master Bedroom,0,Carpet,
1223,Master Bedroom,0,Laminate,
4084,Other,1,Carpet,
6488,Guest Bedroom,1,Other,
8936,Other,0,Other,
6446,Other,0,HardWood,
9535,Guest Bedroom,1,Laminate,
1571,Other,0,HardWood,
3604,Master Bedroom,1,Other,
9287,Other,1,HardWood,
8170,Other,1,Carpet,
11485,Other,1,Laminate,
1503,Guest Bedroom,0,Other,
1280,Other,1,HardWood,
5844,Guest Bedroom,0,Laminate,
1486,Guest Bedroom,1,HardWood,
7550,Guest Bedroom,1,Laminate,
1944,Other,1,Other,
7648,Guest Bedroom,0,HardWood,
4299,Other,0,Laminate,
1744,Guest Bedroom,0,Laminate,
1755,Guest Bedroom,1,Laminate,
11349,Master Bedroom,0,Carpet,
7007,Guest Bedroom,1,Carpet,
4148,Guest Bedroom,0,Carpet,
8407,Guest Bedroom,0,Other,
3962,Other,0,Carpet,
6714,Guest Bedroom,1,HardWood,
5728,Guest Bedroom,0,HardWood,
10396,Master Bedroom,0,Laminate,
2378,Other,0,Other,
10859,Master Bedroom,1,HardWood,
11002,Guest Bedroom,0,Carpet,
7512,Master Bedroom,0,HardWood,
263,Other,1,Carpet,
5591,Other,1,HardWood,
1254,Other,1,Other,
3769,Guest Bedroom,1,Carpet,
2821,Other,1,HardWood,
2501,Master Bedroom,0,Carpet,
5065,Other,1,Carpet,
4116,Other,1,Laminate,
7116,Other,0,Laminate,
1129,Other,1,Laminate,
4846,Other,1,HardWood,
11300,Other,0,Carpet,
8784,Master Bedroom,1,Other,
10723,Other,1,Laminate,
4431,Master Bedroom,1,Laminate,
3354,Other,1,HardWood,
1216,Master Bedroom,0,Laminate,
1708,Other,1,Carpet,
2623,Guest Bedroom,0,Laminate,
7543,Other,0,HardWood,
164,Other,1,HardWood,
7354,Guest Bedroom,0,Laminate,
7172,Master Bedroom,1,Carpet,
1522,Other,0,Carpet,
