UniversityId,TenantId,Major_category,Gender,Peer rating,LandLord rating
1,1,Agriculture & Natural Resources,male,4.8,4.8
2,2,Agriculture & Natural Resources,male,4.5,4.5
3,3,Agriculture & Natural Resources,male,4.4,4.4
4,4,Agriculture & Natural Resources,male,4.9,4.9
5,5,Agriculture & Natural Resources,female,4.8,4.8
6,6,Agriculture & Natural Resources,female,4.4,4.4
7,7,Agriculture & Natural Resources,brand,4,4
8,8,Agriculture & Natural Resources,male,4.2,4.2
9,9,Biology & Life Science,female,4.9,4.9
10,10,Agriculture & Natural Resources,female,4.8,4.8
11,11,Agriculture & Natural Resources,brand,4.9,4.9
12,12,Engineering,brand,4.2,4.2
13,13,Humanities & Liberal Arts,female,4.8,4.8
14,14,Communications & Journalism,brand,4.2,4.2
15,15,Communications & Journalism,female,4.3,4.3
16,16,Communications & Journalism,female,3.6,3.6
17,17,Communications & Journalism,female,4,4
18,18,Computers & Mathematics,male,4.5,4.5
19,19,Computers & Mathematics,male,4.5,4.5
20,20,Computers & Mathematics,unknown,4.4,4.4
21,21,Computers & Mathematics,female,4.7,4.7
22,22,Computers & Mathematics,female,4.5,4.5
23,23,Computers & Mathematics,female,3,3
24,24,Computers & Mathematics,male,3.8,3.8
25,25,Industrial Arts & Consumer Services,male,3.7,3.7
26,26,Education,female,3.8,3.8
27,27,Education,brand,3.2,3.2
28,28,Education,brand,3.1,3.1
29,29,Education,female,3.7,3.7
30,30,Education,male,3.7,3.7
31,31,Education,brand,0,0
32,32,Education,male,4.1,4.1
33,33,Education,female,3.1,3.1
34,34,Education,male,3.6,3.6
35,35,Education,brand,4.3,4.3
36,36,Education,male,4.2,4.2
37,37,Education,brand,3.6,3.6
38,38,Education,female,4,4
39,39,Education,brand,3.2,3.2
40,40,Education,male,4.9,4.9
41,41,Engineering,brand,3.3,3.3
42,42,Engineering,male,3.6,3.6
43,43,Engineering,brand,4,4
44,44,Engineering,male,4.8,4.8
45,45,Engineering,male,4.7,4.7
46,46,Engineering,male,4.5,4.5
47,47,Engineering,female,4.2,4.2
48,48,Engineering,male,4.8,4.8
49,49,Engineering,female,4.9,4.9
50,50,Engineering,brand,4.6,4.6
51,51,Engineering,male,4.9,4.9
52,52,Engineering,female,4.6,4.6
53,53,Engineering,brand,4.3,4.3
54,54,Engineering,male,4,4
55,55,Engineering,male,4.6,4.6
56,56,Engineering,male,4.4,4.4
57,57,Engineering,female,4.2,4.2
58,58,Engineering,brand,4.2,4.2
59,59,Engineering,male,0,0
60,60,Engineering,brand,4.7,4.7
61,61,Engineering,brand,4.6,4.6
62,62,Engineering,female,4.3,4.3
63,63,Engineering,female,4.5,4.5
64,64,Engineering,male,4.4,4.4
65,65,Engineering,female,3.1,3.1
66,66,Engineering,male,4.1,4.1
67,67,Engineering,male,4.8,4.8
68,68,Humanities & Liberal Arts,female,4.6,4.6
69,69,Humanities & Liberal Arts,female,3.9,3.9
70,70,Humanities & Liberal Arts,female,0,0
71,71,Industrial Arts & Consumer Services,male,3.4,3.4
72,72,Law & Public Policy,brand,3.5,3.5
73,73,Law & Public Policy,male,4.3,4.3
74,74,Humanities & Liberal Arts,male,3.9,3.9
75,75,Humanities & Liberal Arts,brand,4.3,4.3
76,76,Humanities & Liberal Arts,female,4.3,4.3
77,77,Humanities & Liberal Arts,brand,4.4,4.4
78,78,Education,female,0,0
79,79,Biology & Life Science,male,0,0
80,80,Biology & Life Science,male,4.4,4.4
81,81,Biology & Life Science,female,4.6,4.6
82,82,Biology & Life Science,female,4.1,4.1
83,83,Biology & Life Science,brand,3.3,3.3
84,84,Biology & Life Science,female,3.3,3.3
85,85,Biology & Life Science,brand,3.4,3.4
86,86,Biology & Life Science,male,3.4,3.4
87,87,Biology & Life Science,male,3.4,3.4
88,88,Biology & Life Science,female,3.4,3.4
89,89,Biology & Life Science,brand,3.5,3.5
90,90,Biology & Life Science,brand,3.9,3.9
91,91,Computers & Mathematics,female,3.7,3.7
92,92,Computers & Mathematics,brand,3.5,3.5
93,93,Computers & Mathematics,unknown,3.6,3.6
94,94,Industrial Arts & Consumer Services,brand,3.8,3.8
95,95,Interdisciplinary,male,3.9,3.9
96,96,Humanities & Liberal Arts,brand,3.5,3.5
97,97,Health,male,3.5,3.5
98,98,Computers & Mathematics,female,3.6,3.6
99,99,Biology & Life Science,brand,3.5,3.5
100,100,Social Science,male,3.8,3.8
101,101,Industrial Arts & Consumer Services,female,3.7,3.7
102,102,Humanities & Liberal Arts,male,3.4,3.4
103,103,Humanities & Liberal Arts,brand,3.5,3.5
104,104,Physical Sciences,female,4.5,4.5
105,105,Physical Sciences,female,4.5,4.5
106,106,Physical Sciences,male,4.6,4.6
107,107,Physical Sciences,female,3.9,3.9
108,108,Physical Sciences,brand,3.7,3.7
109,109,Physical Sciences,female,4.3,4.3
110,110,Physical Sciences,,4.2,4.2
111,111,Physical Sciences,female,4,4
112,112,Engineering,male,4.1,4.1
113,113,Physical Sciences,male,4.3,4.3
114,114,Physical Sciences,female,4.2,4.2
115,115,Psychology & Social Work,female,4.1,4.1
116,116,Psychology & Social Work,unknown,4.1,4.1
117,117,Psychology & Social Work,unknown,4.2,4.2
118,118,Psychology & Social Work,female,4.1,4.1
119,119,Psychology & Social Work,male,4.1,4.1
