Instituto de Banca y Comercio -  Aguadilla,99  Progresso St.,Aguadilla,PR,0,
Caribbean Aviation Training In stitute,Av. Jose Santana,Carolina,PR,0,
Rosslyn Training Academy of Cosmetology Inc.,Calle Paz #213,Aguada,PR,602,
Academia Morales,Bo. Guaniquilla Carretera 441 Km 0.4,Aguada,PR,602,
Emma's Beauty Academy,Carretera #2 Intersection to Carretera #417 Bo. Guanabanos,Aguada,PR,602,
Universal Technology College of Puerto Rico,111 Comercio St,Aguadilla,PR,603,
Charlie's Guard-Detective Bureau and Academy,Road 107 Km 3.1 Bo. Borinquen,Aguadilla,PR,603,
Inter American University of Puerto Rico Aguadilla,Call Box 20000,Aguadilla,PR,605,
Automeca Technical College,Parque Industrial La Montana  Lot #14,Aguadilla,PR,605,
Modern Hairstyling Institute - Arecibo,Vista Azul Shopping Center #2 Km.30.0,Arecibo,PR,612,
Centro de Capacitacion y Asesoramiento Vetelba,Calle de Diego #159,Arecibo,PR,612,
Ponce Technical School - Arecibo,Carretera #2 Avenida Miramar #1070,Arecibo,PR,612,
Xtreme Career Institute,Calle Jose de Jesus Esteves #7,Arecibo,PR,612,
Institute of Beauty Careers,199 Llorens Torres Ave Corner To Coll y Toste St,Arecibo,PR,613,
Colegio Educativo Tecnologico Industrial (CETI College),P.O. Box 1800 Calle Eugenio Maria De Hostos Esq. P,Arecibo,PR,613,
Automeca Technical College,Calle Munoz Rivera No.69,Caguas,PR,625,
University of Puerto Rico - Utuado,P. O. Box 2500,Utuado,PR,641,
Escuela de Peritos Electricitas de Isabela,1059 Calle Surinam Pr 112 Norte,Isabela,PR,662,
Educational Technical College - San Sebastian,Calle Hostos #20 Annex at Calle Paiva,San Sebastian,PR,669,
PR Technological Institute Manati Campus,P.O.BOX 1091,Manati,PR,674,
Instituto Irma Valentin - Manati,52 Calle Mc Kinley,Manati,PR,674,
Professional Electric School,3 Ramos Velez St,Manati,PR,674,
Atenas College,Paseo de La Atenas  #101,Manati,PR,674,
Universal Career Community College - Manati,McKinley #113 St.,Manati,PR,674,
Institute of Beauty Careers-Manati,McKinley #21,Manati,PR,674,
Community Vocational School Jose A. Montanez Genaro,P. O. Box 999,Manati,PR,674,
Instituto de Educacion Tecnica Ocupacional La Reine,Avenida Colon #A-8,Manati,PR,674,
Institute of Beauty Occupations and Technology,500 Calle Concepcion Vera,Moca,PR,676,
Instituto Irma Valentin - Moca,Carr #2 Km 115.2 Bo Aceitunas,Moca,PR,676,
Emma's Beauty Academy,Calle Munoz Rivera 9 Oeste,Mayaguez,PR,680,
Institucion Chaviano de Mayaguez,Calle Ramos Antonini 116 Este,Mayaguez,PR,680,
Puerto Rico Tech Junior College - Mayaguez,Calle Santiago R. Palmer #15 Est,Mayaguez,PR,680,
Ramirez College of Business & Technology - Mayaguez,491 Post Street South,Mayaguez,PR,680,
Instituto Irma Valentin,Calle Ernesto Ramos Antonini #12,Mayaguez,PR,680,
Mayaguez Institute of Technology,Ramos Antonini 116 East,Mayaguez,PR,680,
Universidad Adventista de las Antillas,Carr 106 Km 2.2 Int,Mayaguez,PR,681,
University of Puerto Rico - Mayaguez,Call Box 9000,Mayaguez,PR,681,
Inter-American Adventist Theological Seminary,PO Box 118,Mayaguez,PR,681,
Antillean Adventist University Nurse Anesthesia Program,P.O. Box 118,Mayaguez,PR,681,
Inter American University of Puerto Rico San German,P. O. Box 5100,San German,PR,683,
Academia Vocational Del Turabo,Campio Alonso 41,Caguas,PR,725,
Centro de Capacitacion y Asesoramiento,PMB Dept 484 HC-01 Box 29030,Caguas,PR,725,
PPG Technical College,6 Sakura Avenue Villa Blanca Industrial Park,Caguas,PR,725,
Huertas College,P. O. Box 8429,Caguas,PR,726,
Rogies School of Beauty Culture-Caguas,Paseo Gautier Benitez #26  Altos,Caguas,PR,726,
Columbia Central University,PO Box 8517,Caguas,PR,726,
Instituto Irma Valentin - Caguas,Calle Betances 39,Caguas,PR,726,
Instituto Educativo Premier,Calle Isabel #15,Ponce,PR,730,
International Junior College Ponce College of Tech,Estrella St 57,Ponce,PR,731,
Automeca Technical College,Calle Villa No.452,Ponce,PR,731,
Politec Institute,Guadalupe St #78,Ponce,PR,731,
D'Mart Institute - Ponce,Mayor Street #46 Sol Corner,Ponce,PR,731,
